'Erdos1091.card_validBlock' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos1091.card_vtx' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos1091.degree_eq_three' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos1091.G'_degree_le_three' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos1091.G'_reachable' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos1091.G'_no_triangle' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos1091.G'_cliqueFree_three' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos1091.neighbor_v_cliqueFree_three' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos1091.G_cliqueFree_four' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos1091.path_four_alternates' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos1091.leaf_attachment_eq_alpha' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos1091.spine_with_leaf_ne_alpha' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos1091.pentagon_forces_c' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos1091.pentagon_forces_a' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos1091.spine_c_of_a' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos1091.spine_c_eq_alpha' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos1091.G_not_colorable_three' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos1091.G_colorable_four' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos1091.G_chromaticNumber' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos1091.colorable_three_of_isTwoDegenerate' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos1091.proper_subgraph_isTwoDegenerate' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos1091.proper_subgraph_chromaticNumber_le_three' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos1091.IsSide.isBridge' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos1091.interAdj_isBridge' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos1091.G'_cycle_within_block' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos1091.cycle_chords_le_five_of_notMem_v' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos1091.exists_vPath' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos1091.exit_of_mem_P_edges' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos1091.chordSlots_card_le_one' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos1091.mem_specialBlocks' depends on axioms: [propext, Quot.sound]
'Erdos1091.chords_le_ten_of_mem_v' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos1091.cycle_chords_le_ten' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos1091.cliqueFree_map_equiv' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos1091.chromaticNumber_map_equiv' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos1091.subgraph_chromaticNumber_congr' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos1091.subgraph_chromaticNumber_map_equiv' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos1091.cycle_chords_congr' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos1091.cycle_chords_map_equiv' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos1091.size_bounds' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos1091.theorem_4_1' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos1091.erdos_1091.variants.counterexample' depends on axioms: [propext, Classical.choice, Quot.sound]
